,Subrub_Name,Latitude,Longitude
424,Karrakatta,-31.969093,115.799574
425,Greenwoods Valley,-23.992438,134.050443
426,Vittoria,36.952688,14.530237
427,Lake King,-23.992438,134.050443
428,Ferndale,-23.992438,134.050443
429,Lake Clifton,-32.798317,115.690229
430,Woogenellup,-34.51667,117.83333
431,Overlander,52.374687,8.996665
432,Perth Airport,-31.940614,115.970601
433,Albany,-35.031075,117.89494
434,Flynn,-35.213731,149.046505
435,Beaconsfield,-33.911797,151.20042
436,Ellenbrook,-31.767802,115.967392
437,Coconut Wells,14.552312,121.103547
438,Hillarys,-31.80758,115.743774
439,Collie Burn,-33.4,116.18333
440,Wilberforce,-23.992438,134.050443
441,Jelcobine,-23.992438,134.050443
442,Langford,-32.040754,115.942612
443,South Yilgarn,-31.778959,119.588366
444,Holt Rock,-32.67216,119.40597
445,Baynton,-37.14919,144.63368
446,Haynes,-32.161004,115.979773
447,Dwellingup,-32.712306,116.057386
448,Cooladar Hill,-28.293741,118.110964
449,Norseman,-32.197872,121.776329
450,Moulyinning,-33.25,117.93333
451,Nullaki,-23.992438,134.050443
452,Hamelin Bay,-34.22642,115.05707
453,Lexia,-23.992438,134.050443
454,Pinwernying,-23.992438,134.050443
455,Wogolin,-23.992438,134.050443
456,Joondanna,-31.910112,115.8372
457,Nambung,-30.453939,115.317321
458,Morbinning,-32.1,117.15
459,Quindanning,-33.05,116.56667
460,Willare,-17.735394,123.659298
461,Frankland River,-34.323831,116.9905
462,West Leederville,-31.937773,115.832275
463,Henty,-37.66667,141.51667
464,Talandji,52.374687,8.996665
465,Balkuling,-31.98122,117.11389
466,Karijini,-22.734073,118.276062
467,Mardie,-21.004177,116.847832
468,Ajana,-27.95,114.63333
469,Yangebup,-32.119004,115.824089
470,Murchison,-26.89493,115.95749
471,North Greenbushes,-33.920483,116.046836
472,Lumeah,52.374687,8.996665
473,Walyurin,-23.992438,134.050443
474,Wubin,-30.1,116.63333
475,Mobrup,-34.12574,116.9282
476,Jilakin,-35.73333,148.5
477,Bicton,-32.026481,115.78594
478,Wungong,-32.181572,116.00579
479,Vasse,-33.68717,115.267761
480,Picton,-34.178405,150.613575
481,Karawara,-32.008891,115.881143
482,Kununurra,-15.772203,128.739119
483,Israelite Bay,-23.992438,134.050443
484,Tincurrin,-32.9768,117.77394
485,Meerup,-34.724734,116.32515
486,North Coogee,-32.092075,115.760651
487,Jaloran,-33.15,117.43333
488,Thomson Brook,-38.169813,144.38058
489,Gwelup,-31.872503,115.795624
490,Dayton,-23.992438,134.050443
491,St George Ranges,-19.012964,124.979734
492,Paynesville,-37.909982,147.720467
493,Duncraig,-31.832363,115.775961
494,Cullalla,-23.992438,134.050443
495,Mount Helena,-31.856356,116.206282
496,Beechboro,-31.868551,115.938822
497,Beermullah,-23.992438,134.050443
498,Bulong,-30.74842,121.7945
499,Dartnall,-23.992438,134.050443
500,Jandakot,-32.104776,115.864697
501,Geraldton,-28.778088,114.61619
502,Rosa Brook,-33.95,115.18333
503,Buckland,-42.6,147.71667
504,Jerdacuttup,-33.89639,120.21303
505,Hovea,-23.992438,134.050443
506,Shoalwater Bay,-23.992438,134.050443
507,South Yunderup,-32.592535,115.792329
508,Courtenay,-23.992438,134.050443
509,Cowalla,-23.992438,134.050443
510,Kordabup,-34.948912,117.107832
511,Ord River,-20.06847,127.958426
512,Dampier Peninsula,-16.939238,122.970725
513,Oakford,-32.208084,115.930059
514,Ora Banda,-30.37699,121.06187
515,Antonymyre,52.374687,8.996665
516,Wuraming,-32.8,116.28333
517,Harris River,-23.992438,134.050443
518,Kwelkan,-31.14467,117.99558
519,Coblinine,-23.992438,134.050443
520,North Perth,-31.926971,115.853269
521,Nulsen,-33.860231,121.864964
522,Deepdene,-23.992438,134.050443
523,Landor Station,-25.1,116.900002
524,Noggerup,-33.58333,116.16667
525,Port Kennedy,-32.375031,115.75212
526,West End,-23.992438,134.050443
527,Kimbolton,-23.992438,134.050443
528,Warwick,-31.83974,115.80855
529,Kojaneerup South,-23.992438,134.050443
530,Yelverton,-33.75048,115.1196
531,Paulls Valley,-23.992438,134.050443
532,Bannister,-23.992438,134.050443
533,Birchmont,-23.992438,134.050443
534,The Spectacles,-23.992438,134.050443
535,Plumridge Lakes,-29.47461,125.24969
